iter	custom_metric	RMSE
0	212395.4924	2789.024205
1	207165.4367	2701.224356
2	201291.6849	2625.981544
3	194695.0314	2558.938121
4	189344.3761	2501.672121
5	186446.4099	2450.594042
6	183475.1988	2408.083791
7	181059.5909	2365.639178
8	176550.2948	2331.370687
9	175472.26	2300.784317
10	175319.3024	2273.047288
11	173777.8586	2249.470951
12	172671.3904	2226.718877
13	169928.8122	2207.140296
14	167085.2077	2188.002129
15	165841.2065	2171.282928
16	162862.7035	2154.369845
17	161801.9154	2140.480335
18	158851.6866	2126.457374
19	157184.9091	2113.437905
20	156463.5425	2101.49621
21	154697.3791	2091.145551
22	153397.8459	2080.477426
23	152977.7216	2070.584425
24	153665.0102	2062.787273
25	153272.2621	2054.409248
26	151936.0685	2045.7579
27	152060.6829	2039.412357
28	148725.8586	2031.921423
29	148573.3126	2026.042435
30	148619.5094	2019.287155
31	148198.8365	2012.443212
32	148178.3998	2006.169056
33	147814.7896	1999.808406
34	147285.7198	1994.459703
35	146545.1576	1989.755121
36	144702.944	1985.49326
37	144297.0008	1980.329438
38	144585.1745	1975.591951
39	144078.1555	1971.471682
40	143582.8068	1967.571127
41	143039.0479	1963.376433
42	142446.0117	1959.552105
43	142181.137	1955.945413
44	141729.0953	1952.247236
45	141666.05	1949.185635
46	141819.1731	1946.298832
47	142028.626	1942.734776
48	141788.3733	1939.759199
49	141747.5231	1936.816508
50	141556.8747	1934.258083
51	141147.9385	1931.683915
52	140938.0957	1929.071429
53	140861.5507	1927.379729
54	140348.1094	1925.151436
55	140164.3155	1923.168753
56	140130.9889	1920.381275
57	139165.4565	1918.24369
58	139223.3548	1916.671426
59	139397.9827	1914.177373
60	139153.6463	1912.045603
61	139273.785	1910.245738
62	139477.1257	1908.155934
63	139217.9347	1906.749384
64	139599.3783	1904.905192
65	139582.661	1903.355022
66	139228.167	1901.98339
67	138918.0394	1900.391708
68	137796.5591	1899.258149
69	137875.455	1897.968736
70	138051.7202	1896.546066
71	138858.8914	1894.118484
72	138593.266	1892.55179
73	138597.035	1891.856999
74	138559.2491	1890.72685
75	137756.7574	1888.966485
76	137904.1084	1887.655597
77	137837.1582	1886.137678
78	137965.0873	1884.198374
79	138009.7227	1882.081368
80	137807.8366	1881.035236
81	137821.0876	1879.854183
82	137802.7131	1879.303535
83	137707.5144	1878.092459
84	137335.7485	1877.122818
85	136856.9241	1875.953116
86	136909.9641	1875.178244
87	136863.4748	1874.515768
88	137021.7372	1873.676816
89	136757.3813	1872.426322
90	136914.7228	1871.462079
91	136751.9395	1870.71989
92	136242.9701	1869.775974
93	136313.9056	1868.512275
94	135042.7472	1867.364896
95	135236.8445	1866.111333
96	135307.4449	1864.829653
97	133307.564	1863.995283
98	133183.9641	1863.634004
99	133169.3016	1862.516061
100	133265.6221	1861.446465
101	133480.4446	1860.608585
102	133539.1321	1859.806904
103	133371.0528	1858.771427
104	133292.383	1857.777623
105	133211.5981	1857.048496
106	133172.3361	1856.079067
107	133025.5625	1855.13877
108	132045.5178	1854.515166
109	132112.9859	1853.660516
110	131877.0631	1852.961856
111	131951.3888	1852.559612
112	131977.7911	1851.799462
113	131841.743	1851.216028
114	131919.3113	1850.158449
115	132005.0928	1849.444673
116	131993.3486	1848.818883
117	132049.2308	1848.359625
118	132073.6647	1847.821735
119	132222.9502	1847.138591
120	132000.4892	1846.387297
121	131728.1174	1845.655047
122	131732.3747	1845.38201
123	131701.3196	1844.729283
124	131653.3593	1843.842176
125	131646.8633	1843.63627
126	131669.888	1843.41746
127	131685.4156	1842.985334
128	131681.7049	1842.400979
129	131693.9648	1841.872173
130	131575.4457	1841.094562
131	131985.1384	1840.047718
132	131799.8853	1839.520039
133	131745.4061	1838.533252
134	131678.2828	1837.968755
135	131251.9036	1837.274265
136	131357.4294	1836.459385
137	131290.8111	1835.898783
138	131313.6609	1835.345101
139	131307.564	1835.25319
140	131202.9445	1834.297983
141	131204.2128	1834.15945
142	130314.0662	1833.601944
143	130349.0445	1832.726716
144	130401.3766	1832.143676
145	130126.6907	1831.330467
146	130172.556	1830.743511
147	130260.4464	1830.170567
148	130412.0551	1829.414081
149	130080.0114	1828.84506
150	130217.6801	1828.198437
151	130160.8069	1827.735832
152	130152.9689	1827.638941
153	129889.0307	1827.360462
154	129846.6336	1826.850235
155	129988.7689	1825.8006
156	130069.6372	1825.061353
157	130063.6392	1824.953791
158	130030.2867	1824.379419
159	130031.496	1824.153543
160	130032.1759	1823.908699
161	130028.0073	1823.712395
162	129877.2654	1823.243277
163	129903.3922	1822.767316
164	129906.5421	1822.342977
165	129868.546	1821.688194
166	129861.6784	1821.592196
167	129861.4164	1821.568069
168	127738.0779	1820.921781
169	127433.0855	1820.396062
170	127296.0134	1819.498621
171	127239.2992	1819.095204
172	127233.4991	1818.984447
173	127016.712	1818.596696
174	127069.1014	1818.118688
175	127087.799	1817.350341
176	127004.1523	1816.727353
177	126532.7316	1816.182561
178	126520.0661	1815.658489
179	126497.0403	1815.557794
180	126513.396	1814.926978
181	126515.508	1814.706293
182	126700.4517	1814.191155
183	126699.947	1814.168416
184	126700.5613	1813.826922
185	126665.2448	1813.510743
186	126743.8273	1812.960221
187	126737.2173	1812.866781
188	126650.9118	1812.242626
189	126780.5072	1811.867755
190	126727.3327	1811.706835
191	126750.3132	1811.010612
192	126801.8528	1810.573965
193	126697.2976	1810.115375
194	126772.9106	1809.546369
195	126694.3096	1809.024152
196	126637.6428	1808.387302
197	126637.4557	1808.366233
198	126364.3564	1807.740359
199	126361.814	1807.43553
200	126408.2237	1806.571411
201	126412.114	1806.183432
202	126387.0537	1805.543347
203	126473.3629	1805.10223
204	126473.6823	1805.070156
205	125336.2178	1804.643205
206	125337.7982	1804.446323
207	125376.899	1804.218807
208	125384.6356	1803.93213
209	125392.1275	1803.289971
210	125392.2915	1803.260781
211	125395.6623	1802.923217
212	125357.2348	1802.444948
213	125464.1508	1801.77956
214	125502.9367	1801.42498
