iter	Passed	Remaining
0	34	34912
1	67	33520
2	98	32836
3	131	32635
4	164	32677
5	195	32306
6	224	31776
7	258	32090
8	291	32047
9	322	31883
10	352	31681
11	392	32287
12	424	32204
13	453	31956
14	483	31762
15	513	31573
16	541	31299
17	575	31385
18	611	31547
19	639	31314
20	666	31079
21	697	31025
22	726	30845
23	753	30655
24	784	30597
25	812	30452
26	843	30392
27	870	30224
28	901	30197
29	928	30022
30	958	29959
31	986	29831
32	1015	29771
33	1046	29735
34	1079	29768
35	1107	29645
36	1135	29560
37	1166	29520
38	1199	29550
39	1233	29608
40	1263	29541
41	1299	29636
42	1333	29684
43	1360	29559
44	1389	29498
45	1423	29530
46	1456	29526
47	1483	29423
48	1509	29305
49	1540	29274
50	1575	29318
51	1604	29259
52	1637	29265
53	1668	29232
54	1696	29154
55	1729	29153
56	1755	29040
57	1784	28990
58	1814	28931
59	1846	28935
60	1875	28866
61	1907	28866
62	1941	28870
63	1969	28797
64	1998	28741
65	2026	28672
66	2054	28611
67	2082	28542
68	2114	28534
69	2141	28451
70	2170	28403
71	2206	28438
72	2237	28414
73	2270	28409
74	2297	28336
75	2325	28270
76	2355	28234
77	2390	28261
78	2424	28260
79	2454	28228
80	2487	28222
81	2519	28208
82	2551	28186
83	2578	28115
84	2609	28090
85	2634	28003
86	2661	27932
87	2691	27897
88	2718	27827
89	2755	27858
90	2784	27813
91	2809	27732
92	2841	27714
93	2867	27636
94	2898	27614
95	2925	27546
96	2959	27554
97	2990	27525
98	3026	27540
99	3053	27482
100	3082	27440
101	3109	27376
102	3134	27299
103	3167	27286
104	3197	27253
105	3229	27236
106	3258	27193
107	3289	27164
108	3315	27102
109	3343	27053
110	3382	27090
111	3418	27101
112	3444	27040
113	3473	26995
114	3506	26983
115	3537	26956
116	3566	26912
117	3597	26890
118	3629	26871
119	3658	26826
120	3685	26769
121	3712	26719
122	3739	26662
123	3769	26629
124	3804	26633
125	3835	26601
126	3865	26573
127	3895	26539
128	3923	26494
129	3949	26434
130	3978	26390
131	4013	26389
132	4042	26349
133	4070	26303
134	4102	26284
135	4131	26250
136	4159	26201
137	4190	26177
138	4217	26122
139	4247	26089
140	4275	26045
141	4297	25968
142	4325	25921
143	4352	25875
144	4384	25853
145	4416	25831
146	4446	25800
147	4471	25742
148	4500	25704
149	4535	25699
150	4570	25696
151	4598	25654
152	4628	25624
153	4653	25562
154	4682	25526
155	4711	25492
156	4742	25462
157	4768	25411
158	4795	25366
159	4821	25313
160	4848	25264
161	4875	25219
162	4902	25173
163	4926	25114
164	4950	25054
165	4981	25025
166	5010	24993
167	5031	24920
168	5071	24938
169	5101	24909
170	5135	24896
171	5159	24839
172	5187	24796
173	5211	24739
174	5239	24699
175	5270	24676
176	5306	24675
177	5335	24639
178	5368	24624
179	5399	24598
180	5430	24572
181	5453	24509
182	5484	24484
183	5507	24424
184	5530	24365
185	5565	24357
186	5594	24324
187	5621	24279
188	5649	24241
189	5675	24196
190	5705	24167
191	5739	24155
192	5767	24115
193	5796	24083
194	5826	24053
195	5856	24024
196	5893	24023
197	5918	23972
198	5947	23940
199	5971	23885
200	6010	23893
201	6040	23864
202	6074	23847
203	6102	23811
204	6127	23763
205	6158	23738
206	6181	23682
207	6206	23634
208	6235	23599
209	6259	23547
210	6280	23483
211	6306	23441
212	6340	23426
213	6376	23421
214	6403	23379
215	6440	23376
216	6465	23327
217	6492	23288
218	6518	23245
219	6554	23238
220	6584	23208
221	6609	23162
222	6638	23130
223	6662	23082
224	6686	23031
225	6721	23021
226	6748	22981
227	6784	22970
228	6808	22922
229	6847	22923
230	6885	22921
231	6904	22857
232	6933	22824
233	6957	22776
234	6994	22770
235	7015	22711
236	7048	22692
237	7074	22649
238	7100	22607
239	7131	22582
240	7160	22550
241	7195	22538
242	7218	22487
243	7249	22460
244	7276	22424
245	7306	22395
246	7339	22374
247	7363	22329
248	7389	22288
249	7422	22268
250	7447	22223
251	7468	22168
252	7493	22124
253	7525	22101
254	7546	22048
255	7570	22001
256	7602	21979
257	7629	21941
258	7660	21915
259	7686	21877
260	7715	21846
261	7745	21816
262	7767	21767
263	7799	21744
264	7825	21703
265	7855	21675
266	7884	21646
267	7920	21633
268	7950	21606
269	7985	21591
270	8007	21541
271	8033	21501
272	8071	21495
273	8097	21455
274	8120	21407
275	8158	21402
276	8185	21365
277	8210	21322
278	8240	21295
279	8264	21251
280	8295	21225
281	8321	21186
282	8351	21158
283	8384	21138
284	8416	21114
285	8440	21070
286	8469	21040
287	8499	21012
288	8535	20997
289	8565	20969
290	8596	20945
291	8629	20922
292	8654	20882
293	8681	20847
294	8713	20823
295	8738	20783
296	8765	20748
297	8792	20711
298	8826	20693
299	8852	20655
300	8886	20635
301	8908	20589
302	8942	20570
303	8967	20531
304	8989	20483
305	9020	20457
306	9049	20426
307	9076	20393
308	9101	20353
309	9134	20331
310	9164	20304
311	9192	20270
312	9226	20251
313	9255	20219
314	9283	20188
315	9310	20152
316	9337	20117
317	9359	20073
318	9398	20063
319	9428	20035
320	9455	20001
321	9483	19968
322	9506	19924
323	9530	19884
324	9562	19859
325	9596	19840
326	9628	19815
327	9657	19787
328	9687	19757
329	9714	19724
330	9738	19683
331	9763	19645
332	9793	19615
333	9823	19589
334	9858	19570
335	9890	19544
336	9913	19504
337	9935	19460
338	9962	19424
339	9997	19407
340	10031	19386
341	10057	19350
342	10086	19319
343	10114	19287
344	10144	19258
345	10175	19232
346	10203	19200
347	10232	19170
348	10260	19139
349	10296	19122
350	10322	19086
351	10355	19064
352	10386	19037
353	10412	19001
354	10449	18985
355	10482	18961
356	10510	18930
357	10537	18896
358	10565	18865
359	10590	18828
360	10621	18800
361	10643	18758
362	10668	18720
363	10695	18687
364	10730	18667
365	10753	18628
366	10782	18597
367	10816	18575
368	10843	18541
369	10876	18519
370	10910	18497
371	10936	18463
372	10971	18442
373	10996	18405
374	11026	18378
375	11055	18347
376	11084	18316
377	11112	18286
378	11148	18267
379	11179	18240
380	11205	18205
381	11233	18173
382	11265	18147
383	11287	18106
384	11325	18091
385	11369	18084
386	11402	18061
387	11436	18038
388	11465	18008
389	11495	17980
390	11528	17956
391	11562	17933
392	11600	17917
393	11628	17885
394	11656	17853
395	11681	17816
396	11712	17790
397	11741	17759
398	11771	17731
399	11801	17701
400	11831	17674
401	11859	17641
402	11890	17614
403	11914	17576
404	11942	17545
405	11971	17515
406	12003	17489
407	12032	17459
408	12057	17423
409	12083	17387
410	12112	17358
411	12142	17329
412	12168	17295
413	12190	17254
414	12225	17232
415	12255	17205
416	12283	17172
417	12313	17144
418	12343	17116
419	12374	17089
420	12399	17052
421	12432	17028
422	12457	16993
423	12487	16963
424	12510	16925
425	12542	16899
426	12573	16872
427	12601	16841
428	12628	16808
429	12655	16776
430	12681	16742
431	12705	16704
432	12730	16670
433	12757	16637
434	12781	16601
435	12805	16564
436	12831	16530
437	12866	16508
438	12903	16489
439	12935	16463
440	12960	16428
441	12989	16398
442	13013	16362
443	13039	16328
444	13066	16295
445	13099	16271
446	13127	16240
447	13153	16207
448	13183	16178
449	13213	16149
450	13237	16113
451	13269	16087
452	13306	16068
453	13339	16042
454	13392	16041
455	13419	16009
456	13448	15978
457	13480	15953
458	13514	15928
459	13549	15906
460	13578	15876
461	13605	15843
462	13630	15808
463	13655	15774
464	13689	15749
465	13719	15721
466	13751	15694
467	13774	15658
468	13802	15627
469	13828	15594
470	13856	15563
471	13884	15532
472	13914	15503
473	13938	15467
474	13967	15438
475	13994	15406
476	14023	15375
477	14051	15345
478	14085	15320
479	14109	15284
480	14142	15260
481	14172	15231
482	14202	15201
483	14231	15172
484	14261	15143
485	14289	15112
486	14324	15089
487	14360	15066
488	14385	15032
489	14411	14999
490	14436	14965
491	14463	14933
492	14493	14904
493	14527	14880
494	14560	14854
495	14589	14824
496	14615	14792
497	14643	14760
498	14666	14724
499	14695	14695
500	14723	14664
501	14750	14632
502	14779	14602
503	14808	14573
504	14836	14543
505	14867	14514
506	14896	14485
507	14922	14452
508	14945	14416
509	14974	14387
510	15010	14364
511	15039	14334
512	15067	14303
513	15093	14271
514	15126	14244
515	15151	14212
516	15180	14182
517	15211	14154
518	15241	14125
519	15276	14101
520	15304	14070
521	15324	14033
522	15357	14006
523	15389	13979
524	15420	13952
525	15452	13925
526	15479	13893
527	15513	13867
528	15546	13841
529	15569	13807
530	15599	13777
531	15628	13748
532	15661	13722
533	15690	13692
534	15722	13664
535	15752	13636
536	15780	13606
537	15808	13574
538	15837	13545
539	15864	13514
540	15890	13482
541	15920	13452
542	15951	13425
543	15974	13390
544	16003	13360
545	16030	13329
546	16056	13297
547	16084	13266
548	16106	13231
549	16134	13200
550	16164	13172
551	16198	13146
552	16223	13114
553	16257	13088
554	16284	13056
555	16319	13031
556	16348	13002
557	16379	12974
558	16403	12940
559	16431	12910
560	16461	12881
561	16487	12849
562	16519	12822
563	16543	12788
564	16572	12759
565	16601	12729
566	16626	12697
567	16651	12664
568	16677	12632
569	16706	12603
570	16736	12574
571	16767	12545
572	16796	12516
573	16822	12484
574	16846	12451
575	16873	12420
576	16903	12392
577	16937	12366
578	16965	12335
579	16988	12301
580	17020	12275
581	17048	12244
582	17083	12219
583	17114	12191
584	17138	12158
585	17172	12132
586	17199	12101
587	17225	12069
588	17254	12040
589	17286	12012
590	17313	11981
591	17334	11946
592	17360	11915
593	17392	11888
594	17416	11854
595	17444	11824
596	17473	11795
597	17499	11763
598	17520	11728
599	17544	11696
600	17579	11670
601	17610	11643
602	17647	11618
603	17673	11587
604	17703	11558
605	17729	11527
606	17750	11492
607	17778	11462
608	17802	11430
609	17835	11402
610	17867	11375
611	17892	11343
612	17918	11312
613	17946	11282
614	17967	11247
615	18003	11222
616	18032	11193
617	18062	11164
618	18091	11135
619	18120	11106
620	18148	11076
621	18172	11043
622	18201	11014
623	18237	10989
624	18265	10959
625	18296	10931
626	18322	10900
627	18357	10874
628	18389	10846
629	18415	10815
630	18451	10789
631	18476	10758
632	18501	10726
633	18524	10693
634	18551	10663
635	18582	10635
636	18612	10606
637	18640	10576
638	18669	10547
639	18705	10522
640	18726	10488
641	18756	10459
642	18780	10427
643	18806	10396
644	18836	10367
645	18868	10339
646	18897	10310
647	18930	10282
648	18957	10252
649	18981	10220
650	19007	10189
651	19039	10161
652	19068	10133
653	19095	10102
654	19122	10072
655	19154	10044
656	19181	10014
657	19218	9988
658	19246	9959
659	19277	9930
660	19311	9903
661	19342	9875
662	19383	9852
663	19417	9825
664	19452	9799
665	19479	9768
666	19503	9737
667	19529	9706
668	19558	9677
669	19589	9648
670	19613	9616
671	19638	9585
672	19664	9554
673	19696	9526
674	19719	9494
675	19746	9464
676	19782	9438
677	19809	9407
678	19831	9375
679	19854	9343
680	19886	9315
681	19917	9286
682	19942	9255
683	19967	9224
684	19997	9196
685	20029	9167
686	20061	9140
687	20088	9110
688	20117	9080
689	20147	9051
690	20176	9022
691	20206	8993
692	20237	8965
693	20263	8934
694	20287	8903
695	20323	8877
696	20348	8845
697	20386	8820
698	20418	8792
699	20456	8767
700	20487	8738
701	20514	8708
702	20543	8679
703	20571	8649
704	20599	8619
705	20620	8587
706	20647	8556
707	20676	8527
708	20704	8497
709	20735	8469
710	20768	8441
711	20796	8412
712	20826	8383
713	20857	8354
714	20890	8326
715	20917	8296
716	20949	8268
717	20976	8238
718	21000	8207
719	21032	8179
720	21063	8150
721	21099	8124
722	21131	8095
723	21157	8065
724	21188	8036
725	21221	8009
726	21248	7979
727	21273	7948
728	21314	7923
729	21344	7894
730	21381	7868
731	21413	7839
732	21440	7809
733	21467	7779
734	21497	7750
735	21531	7723
736	21558	7693
737	21588	7664
738	21618	7635
739	21642	7604
740	21669	7574
741	21702	7546
742	21734	7517
743	21769	7490
744	21802	7462
745	21829	7432
746	21866	7405
747	21898	7377
748	21919	7345
749	21956	7318
750	21987	7290
751	22013	7259
752	22035	7227
753	22062	7198
754	22094	7169
755	22126	7141
756	22161	7113
757	22194	7085
758	22226	7057
759	22258	7028
760	22297	7002
761	22325	6972
762	22352	6942
763	22382	6913
764	22411	6884
765	22444	6856
766	22479	6828
767	22508	6799
768	22532	6768
769	22559	6738
770	22594	6710
771	22627	6682
772	22654	6652
773	22684	6623
774	22717	6595
775	22741	6564
776	22777	6537
777	22812	6509
778	22839	6479
779	22868	6450
780	22899	6421
781	22932	6392
782	22960	6363
783	22987	6333
784	23013	6303
785	23043	6273
786	23069	6243
787	23099	6214
788	23128	6185
789	23160	6156
790	23188	6126
791	23217	6097
792	23245	6067
793	23273	6038
794	23301	6008
795	23329	5979
796	23358	5949
797	23385	5919
798	23414	5890
799	23447	5861
800	23473	5831
801	23502	5802
802	23534	5773
803	23562	5744
804	23595	5715
805	23621	5685
806	23650	5656
807	23678	5626
808	23705	5596
809	23732	5566
810	23758	5536
811	23785	5507
812	23813	5477
813	23837	5446
814	23874	5419
815	23900	5389
816	23932	5360
817	23954	5329
818	23984	5300
819	24017	5272
820	24043	5242
821	24072	5212
822	24100	5183
823	24134	5154
824	24165	5126
825	24199	5097
826	24224	5067
827	24253	5038
828	24277	5007
829	24313	4979
830	24336	4949
831	24367	4920
832	24390	4889
833	24421	4860
834	24451	4831
835	24481	4802
836	24514	4773
837	24548	4745
838	24571	4715
839	24602	4686
840	24631	4656
841	24657	4626
842	24680	4596
843	24707	4566
844	24731	4536
845	24759	4507
846	24786	4477
847	24815	4448
848	24842	4418
849	24876	4389
850	24905	4360
851	24931	4330
852	24958	4301
853	24990	4272
854	25018	4242
855	25046	4213
856	25078	4184
857	25107	4155
858	25132	4125
859	25158	4095
860	25190	4066
861	25226	4038
862	25255	4009
863	25282	3979
864	25312	3950
865	25335	3920
866	25362	3890
867	25396	3862
868	25424	3832
869	25454	3803
870	25480	3773
871	25510	3744
872	25537	3715
873	25563	3685
874	25601	3657
875	25625	3627
876	25650	3597
877	25689	3569
878	25721	3540
879	25750	3511
880	25777	3481
881	25807	3452
882	25831	3422
883	25860	3393
884	25894	3364
885	25924	3335
886	25954	3306
887	25982	3277
888	26018	3248
889	26052	3219
890	26078	3190
891	26111	3161
892	26139	3132
893	26162	3102
894	26188	3072
895	26212	3042
896	26240	3013
897	26265	2983
898	26294	2954
899	26326	2925
900	26357	2896
901	26387	2866
902	26415	2837
903	26443	2808
904	26474	2779
905	26497	2749
906	26520	2719
907	26545	2689
908	26577	2660
909	26611	2631
910	26638	2602
911	26671	2573
912	26707	2544
913	26736	2515
914	26765	2486
915	26786	2456
916	26817	2427
917	26844	2397
918	26879	2369
919	26908	2339
920	26940	2310
921	26968	2281
922	27003	2252
923	27033	2223
924	27059	2193
925	27098	2165
926	27123	2135
